umidade,pH,temperatura,irrigacao,fertilizante,produtividade
38,7.35,25,13,2,39.69
36,6.55,22,8,10,39.03
56,6.7,30,12,8,59.54
44,5.73,20,14,8,48.19
52,7.46,20,15,10,53.1
39,6.87,24,12,7,50.39
22,5.7,23,8,7,23.66
60,6.22,31,9,7,53.78
34,6.32,26,16,3,48.22
50,6.04,25,15,3,49.19
46,7.07,33,5,7,34.8
28,6.4,29,14,7,55.58
26,7.21,34,9,9,34.82
57,6.39,34,15,9,61.72
55,5.7,21,5,9,36.4
44,6.06,20,17,4,49.58
25,5.54,26,15,9,51.7
48,6.37,20,15,5,47.58
59,6.16,20,12,8,52.38
50,6.04,29,7,10,51.4
39,6.02,20,5,8,33.27
54,6.66,26,16,6,66.4
40,5.7,34,5,3,21.3
51,7.32,29,6,8,39.3
23,5.75,24,19,7,46.97
35,6.78,28,15,3,49.69
52,7.32,26,16,2,53.45
42,7.31,34,11,7,37.28
29,6.94,33,14,4,42.68
44,7.05,31,13,10,54.31
40,6.46,30,20,7,67.55
39,6.87,32,19,10,64.21
41,7.15,33,7,5,36.24
32,7.02,24,14,2,35.3
52,6.2,35,8,6,38.0
50,7.2,27,5,3,29.96
31,6.99,24,15,6,49.18
48,6.02,33,17,5,55.88
29,7.19,25,19,6,50.04
27,6.9,25,14,6,42.47
33,6.19,25,12,4,39.37
55,7.27,33,18,3,63.04
53,5.9,31,6,8,40.99
46,5.81,31,17,7,58.64
32,5.52,27,6,9,35.24
54,5.94,34,12,3,43.52
20,6.0,33,11,8,30.82
53,6.55,33,8,6,49.94
59,5.78,28,13,6,57.96
31,5.73,34,13,7,42.0
20,6.38,23,14,6,42.55
27,6.71,31,8,10,43.68
53,7.06,21,11,6,43.58
57,5.5,28,13,8,66.17
41,5.78,32,14,3,45.1
29,7.05,30,20,2,55.74
37,7.44,24,6,10,33.71
34,6.19,28,19,10,67.56
24,6.61,25,20,5,59.0
37,7.04,33,11,2,38.46
58,5.75,24,8,4,41.15
51,5.7,22,9,5,43.53
60,6.74,29,16,5,65.07
33,5.82,26,14,7,45.1
36,5.55,33,17,9,57.44
37,7.47,34,8,4,24.26
36,6.76,25,5,7,36.67
29,7.42,33,16,7,47.37
31,6.65,20,18,2,49.14
25,7.17,20,16,2,39.44
59,5.84,30,17,6,63.87
56,6.81,32,16,4,60.4
43,5.85,31,19,9,64.85
38,7.07,29,6,3,27.61
50,7.37,34,7,4,34.87
21,7.21,29,16,5,47.43
32,7.0,26,14,2,43.59
29,6.43,32,18,9,54.7
26,6.35,34,15,4,43.05
37,5.64,33,19,4,48.34
57,6.07,30,8,3,42.23
20,6.82,35,9,5,28.92
33,7.01,26,20,6,64.53
36,6.27,21,5,9,28.93
53,7.07,30,13,9,56.63
41,7.34,28,11,7,46.74
41,7.33,29,13,5,46.74
57,5.55,26,10,2,47.83
40,5.83,20,16,8,46.91
56,7.2,26,20,3,62.44
32,7.16,34,20,5,57.32
45,5.58,25,17,10,66.28
35,6.27,20,13,9,47.77
36,6.07,33,5,5,27.94
34,6.45,25,19,10,62.64
59,5.72,32,8,3,42.31
34,5.51,24,13,6,41.53
31,5.69,23,19,9,53.34
44,5.81,27,14,8,58.35
48,6.09,24,19,3,60.29
32,5.79,32,12,8,45.61
54,6.58,25,6,9,43.99
33,6.73,33,16,2,47.78
23,5.9,22,13,6,41.1
38,5.67,26,15,9,57.96
33,6.36,34,8,8,36.63
49,6.01,26,15,10,69.52
46,6.99,23,14,4,44.31
53,5.63,28,5,2,33.86
55,6.16,22,10,4,48.69
31,6.47,29,14,4,46.08
48,5.94,24,20,10,72.07
49,7.4,23,14,7,55.11
30,6.83,20,17,3,37.44
50,7.12,28,18,6,67.1
59,5.73,32,15,3,55.41
42,5.53,31,18,5,58.42
54,5.75,20,5,7,36.84
28,6.04,30,20,3,58.33
30,6.09,24,15,7,44.65
24,6.09,25,10,9,37.87
48,7.24,20,18,6,51.58
33,5.86,33,8,8,39.26
54,5.78,27,13,3,57.42
37,6.57,28,9,7,49.23
26,7.41,33,9,3,22.27
60,6.52,20,19,9,69.01
49,7.08,22,16,7,53.77
31,5.5,25,16,7,52.64
27,6.44,26,5,10,35.87
29,5.54,26,16,4,43.02
58,5.87,28,12,3,57.14
53,6.81,20,9,5,37.86
21,7.1,31,19,9,53.47
46,6.34,22,6,8,34.4
49,5.64,34,10,5,37.09
55,7.5,28,6,8,45.35
40,6.58,28,14,4,52.09
49,5.82,27,16,9,65.04
32,6.01,20,17,3,40.78
59,5.58,25,9,4,44.54
54,6.02,28,8,5,49.04
56,6.37,31,16,6,59.79
28,6.59,28,18,4,60.27
25,6.91,22,11,9,41.62
53,7.42,31,15,5,60.29
59,7.3,29,14,7,60.09
23,6.13,32,14,4,41.05
24,7.29,28,16,6,53.61
39,6.94,27,18,10,66.77
32,7.2,29,12,10,50.23
46,5.94,27,6,9,41.4
48,7.22,34,6,8,35.58
31,6.17,27,10,10,45.29
27,5.57,30,11,2,33.77
28,7.36,22,19,10,54.82
36,7.0,35,5,9,25.77
37,5.97,30,6,8,39.57
55,7.47,32,16,4,60.75
56,6.83,28,13,4,60.97
47,5.79,28,20,5,65.62
38,6.82,26,8,8,39.62
44,7.08,24,20,10,71.69
53,5.76,34,15,6,52.22
38,6.43,23,12,6,41.79
59,5.88,32,11,4,53.72
40,5.77,32,15,3,45.29
40,5.85,23,16,9,51.76
40,6.66,22,13,2,44.13
49,5.7,29,12,9,54.25
53,7.19,28,19,4,69.69
52,7.15,34,16,4,51.62
38,6.41,28,14,5,54.11
44,7.34,34,20,9,64.99
44,6.19,21,14,6,47.2
36,6.11,23,15,10,53.69
34,7.47,28,5,2,23.89
38,7.47,35,20,3,47.09
33,5.63,20,10,5,28.12
24,6.74,25,11,3,31.64
32,5.97,25,18,2,53.6
32,6.18,26,19,8,58.09
39,5.71,24,7,6,37.79
21,6.19,33,15,8,49.4
21,5.74,26,10,7,30.91
56,6.82,21,17,9,62.7
32,6.28,22,15,10,52.38
24,7.08,27,8,8,34.86
30,6.62,35,11,9,46.22
25,6.85,27,5,6,30.06
49,6.63,32,9,7,42.62
58,6.47,21,9,4,46.39
22,6.35,32,10,2,24.35
32,6.19,28,5,7,37.71
43,7.31,22,10,3,30.24
60,6.89,25,13,6,54.65
51,6.98,31,20,2,66.04
23,6.46,35,18,6,52.24
51,6.65,28,8,4,42.84
42,6.92,35,6,9,36.58
21,6.4,20,16,9,47.01
38,6.08,25,18,7,64.74
54,6.09,22,6,4,39.0
25,7.47,33,14,10,42.72
44,5.7,22,15,7,56.06
59,7.16,20,15,7,53.35
39,5.59,21,20,3,54.03
58,6.67,31,13,2,48.83
28,6.42,25,8,10,42.22
44,6.76,23,7,7,37.85
52,5.6,21,15,2,42.72
52,6.51,28,7,4,41.04
25,6.21,26,17,8,51.25
26,7.01,30,10,8,35.69
29,6.81,31,19,5,54.47
26,7.45,29,5,2,16.74
26,7.31,26,15,2,44.35
28,6.18,28,17,2,51.81
48,6.52,22,16,8,59.65
42,6.62,34,8,2,35.3
42,5.88,29,6,10,44.54
24,6.1,21,19,8,47.65
36,7.18,29,14,8,49.63
38,5.7,21,5,3,19.38
34,6.55,33,19,8,62.44
26,5.55,21,14,7,42.11
26,6.86,32,6,7,27.99
50,7.05,35,18,3,54.91
36,6.09,34,5,3,20.48
55,5.83,32,15,9,60.55
27,5.61,21,9,5,28.3
56,5.73,33,11,4,50.42
52,6.45,35,18,2,60.16
38,6.96,28,6,8,45.4
43,6.72,26,18,3,54.54
37,6.14,21,12,10,49.19
21,7.25,34,5,8,19.08
21,5.79,29,7,3,26.84
41,5.91,22,12,9,49.19
39,7.47,29,17,3,51.65
20,5.75,33,8,10,31.68
57,7.26,34,10,8,53.0
20,6.15,23,14,10,50.1
30,5.57,29,6,7,30.68
27,5.98,25,15,7,50.68
39,5.51,27,19,9,61.71
53,6.77,35,10,7,48.4
37,6.07,22,10,10,44.56
38,6.26,29,16,3,56.05
56,7.07,31,19,7,68.48
20,6.17,24,18,5,51.34
57,6.25,33,8,5,45.67
57,5.68,24,10,6,46.27
39,6.68,28,17,6,62.11
23,7.29,32,11,2,29.17
47,7.22,21,5,4,29.58
30,5.76,23,11,7,36.41
26,7.35,35,14,3,31.39
42,7.31,29,20,3,60.76
59,6.63,30,14,3,57.43
29,6.39,31,14,10,57.93
41,6.39,20,18,4,51.15
48,5.51,28,17,2,57.87
53,5.63,31,15,2,53.12
23,6.62,35,5,10,31.58
38,6.1,27,17,8,63.17
27,6.39,20,13,7,35.66
60,6.75,28,7,2,46.4
25,6.91,28,7,7,38.18
26,7.45,25,5,9,30.38
60,6.41,32,7,8,52.24
57,6.93,32,20,10,79.48
30,5.91,27,12,6,47.53
35,6.02,25,12,8,43.75
53,6.96,29,16,6,64.96
23,7.04,23,6,5,17.67
46,6.71,25,6,6,37.7
33,7.49,22,14,4,38.89
31,7.05,20,9,3,26.66
33,6.22,22,16,7,54.68
22,5.64,21,20,9,53.57
23,7.02,32,14,4,42.59
44,6.03,23,18,3,54.48
40,7.46,31,14,6,45.39
48,7.49,24,18,3,53.6
28,6.6,21,20,9,59.08
43,5.61,25,10,9,46.0
56,6.57,22,10,2,41.01
53,5.86,32,19,5,67.87
40,6.7,28,14,6,55.74
28,7.5,30,19,10,61.99
45,5.9,24,14,9,60.25
22,6.21,25,14,4,37.57
45,6.26,23,20,6,66.97
48,6.44,23,9,6,46.85
25,5.81,29,14,6,42.86
20,7.01,26,20,8,54.42
25,7.15,30,16,2,39.14
55,6.17,31,18,4,64.74
48,6.64,30,5,5,40.7
45,5.99,22,12,7,43.36
52,6.99,32,12,2,41.79
50,6.22,23,10,10,53.13
41,5.64,23,19,5,54.04
58,5.59,33,10,4,45.18
46,6.62,21,15,10,57.82
27,7.32,31,17,7,51.14
43,6.85,24,6,4,35.43
30,7.16,34,16,2,39.72
40,5.97,35,8,9,38.77
28,6.19,21,7,4,23.29
42,6.99,25,17,10,59.5
32,6.72,34,11,9,44.52
50,5.78,29,9,2,39.21
21,7.29,30,14,4,40.49
46,7.04,20,15,5,45.66
28,7.19,32,20,10,59.42
54,5.51,24,12,6,45.66
52,6.57,22,13,8,56.02
21,7.14,26,9,2,30.26
25,7.07,22,9,3,29.21
21,6.23,33,14,9,39.8
37,6.81,32,9,3,34.63
55,5.61,33,9,2,37.05
28,6.26,32,16,3,43.29
60,6.57,34,11,9,62.68
31,5.9,34,13,5,37.26
26,7.38,30,5,4,19.57
41,6.33,25,13,10,52.34
36,5.9,27,18,9,60.15
56,7.34,23,9,3,42.84
42,6.72,22,9,6,40.75
22,6.15,32,19,5,45.22
21,6.43,32,19,9,53.45
43,6.58,28,18,3,56.8
33,6.76,20,16,9,55.26
39,6.35,33,15,2,42.66
40,7.29,23,14,2,44.25
35,5.76,25,13,8,51.56
42,6.92,34,7,8,41.68
58,6.69,25,12,10,64.77
27,5.68,34,13,10,42.34
25,6.87,28,7,6,34.66
26,6.86,24,14,8,42.09
53,5.84,35,10,8,42.29
33,5.85,22,18,6,48.72
57,6.4,22,14,9,58.75
24,6.17,22,8,4,29.27
32,5.93,25,12,4,40.73
48,7.31,32,6,9,39.45
58,7.03,32,9,4,45.56
55,6.48,29,9,2,43.46
27,6.87,33,19,9,57.36
54,6.95,28,9,7,52.46
41,6.61,20,17,7,50.36
57,6.45,34,7,3,44.52
44,6.58,25,13,5,55.22
30,7.45,30,20,7,62.62
34,6.9,29,7,4,30.82
28,7.33,24,16,3,43.35
37,6.91,25,15,2,48.87
23,6.1,29,7,5,32.93
21,5.85,21,7,4,18.48
42,7.12,25,12,5,47.46
60,6.88,30,17,8,76.32
40,5.81,20,17,9,57.73
40,6.83,34,8,7,32.88
60,5.95,21,16,10,66.45
30,6.7,35,11,2,29.55
41,6.66,33,11,8,51.59
48,5.96,28,14,9,65.55
49,6.0,24,16,10,61.75
43,7.23,28,9,3,44.95
36,7.18,25,5,4,29.34
43,6.73,20,14,6,44.0
59,7.22,26,17,10,68.81
48,6.16,30,9,7,50.47
39,6.04,20,19,4,53.19
44,5.86,34,14,2,38.31
55,6.23,21,11,9,57.03
36,7.09,26,7,4,35.7
20,6.13,31,12,4,36.09
22,6.15,29,16,6,45.04
51,6.36,32,12,8,51.05
59,7.25,31,9,6,53.11
37,7.2,25,9,10,40.19
43,6.85,24,7,7,42.48
40,6.57,23,16,6,52.93
38,5.62,27,20,7,63.47
47,6.09,23,15,8,57.68
30,7.08,35,16,2,35.49
40,6.04,35,5,5,30.73
37,6.34,29,14,2,44.13
28,6.75,28,10,8,41.24
60,7.09,35,5,4,31.15
23,6.01,33,5,3,19.35
47,7.16,20,20,3,52.27
26,6.55,35,20,10,56.13
44,5.84,21,10,8,41.17
28,7.35,28,7,7,34.3
47,7.48,23,18,5,54.23
50,6.04,24,10,7,47.91
23,7.06,24,11,3,26.55
22,7.15,27,10,9,39.78
44,7.18,33,17,2,49.95
59,6.05,21,19,9,67.14
52,5.62,31,10,6,42.62
33,5.51,24,19,8,56.87
58,5.99,30,20,5,70.65
29,6.14,27,10,5,37.07
60,6.23,30,19,3,73.08
44,7.36,32,17,6,56.17
32,7.14,34,6,3,25.08
49,6.25,35,19,6,62.66
25,5.9,20,7,6,21.25
50,7.09,21,9,7,42.49
33,5.62,27,13,4,38.3
21,7.28,25,13,4,34.98
36,5.68,28,5,3,25.61
46,6.22,30,6,3,31.08
54,7.33,35,11,2,40.86
42,7.4,34,16,10,59.97
26,7.37,27,14,6,49.1
51,6.85,27,20,5,68.1
26,7.03,28,7,9,38.38
37,7.23,30,10,6,37.46
34,6.37,27,19,10,71.35
45,6.99,34,18,7,62.0
44,5.6,20,18,2,50.48
34,6.05,26,13,4,39.5
43,7.36,33,15,6,55.08
51,7.03,29,14,7,58.96
37,7.07,30,6,7,34.54
27,6.16,24,16,8,49.02
33,6.97,26,6,9,37.43
25,7.08,26,12,8,44.83
57,6.84,35,20,7,65.92
44,6.59,21,17,10,61.67
48,6.05,23,7,5,40.6
43,7.5,22,17,5,54.3
29,6.73,28,15,3,43.24
43,6.51,24,20,7,69.86
54,5.7,34,19,7,60.29
20,7.14,22,17,8,45.41
50,6.03,26,13,7,59.79
21,5.71,35,6,5,20.29
39,7.05,34,9,6,39.87
55,7.4,22,20,8,72.74
40,6.28,26,18,8,64.0
55,6.63,24,7,9,45.4
46,7.27,33,11,2,42.87
27,6.23,26,14,4,39.37
43,7.04,22,17,5,55.19
32,6.48,20,9,6,34.61
40,5.77,26,8,3,35.05
55,6.38,27,8,3,43.6
59,6.45,28,19,3,67.01
34,6.95,20,8,8,36.34
53,7.07,22,13,4,46.36
39,6.15,31,6,5,28.67
20,6.48,26,13,7,44.24
28,5.84,25,7,2,27.63
43,6.18,23,9,3,32.28
46,6.19,25,13,10,54.47
56,6.28,21,12,3,49.08
28,5.56,33,8,2,26.1
51,5.52,20,6,6,27.48
47,5.96,27,12,6,47.95
34,6.99,34,14,9,50.57
37,7.39,23,10,10,41.5
46,6.04,29,7,3,42.01
39,6.79,25,7,7,38.52
30,6.19,34,6,10,33.95
58,6.73,30,5,10,53.93
46,6.6,21,19,7,62.04
31,6.27,29,17,3,53.46
24,5.64,20,14,9,43.05
38,6.5,31,8,7,46.47
22,6.89,26,11,4,33.73
47,5.94,23,16,5,58.0
59,7.13,29,14,8,61.92
49,6.77,25,11,5,51.21
51,5.57,27,17,2,56.26
23,7.28,27,7,4,22.85
48,5.89,28,16,2,58.35
37,5.8,26,16,7,59.32
21,6.5,20,19,4,44.45
23,7.46,25,10,2,30.7
29,6.85,26,14,8,45.76
43,6.27,35,12,2,43.91
25,6.1,22,12,10,41.15
51,5.79,32,11,5,50.19
27,5.9,22,8,7,27.45
22,6.52,26,13,6,41.91
50,5.88,35,8,6,36.9
25,6.43,32,18,6,47.37
50,5.75,32,15,3,46.45
37,7.24,35,14,2,39.89
31,7.08,20,20,4,48.18
23,6.75,35,5,9,25.37
28,6.57,21,10,7,35.6
25,5.69,33,20,6,53.53
29,7.48,22,10,2,21.26
51,6.52,20,9,5,44.57
28,6.25,31,9,2,29.76
49,7.17,32,15,9,55.26
56,5.87,30,6,4,37.74
54,7.18,35,14,4,52.16
56,6.64,25,7,6,44.21
34,6.58,34,17,10,54.85
58,6.72,34,17,5,64.29
23,6.59,32,7,10,31.38
22,5.76,30,11,2,26.7
46,6.53,32,12,2,41.01
38,6.35,28,6,10,42.99
59,7.3,34,20,5,70.09
23,7.3,27,9,2,32.18
34,6.29,34,16,10,59.73
23,6.45,22,5,7,24.78
37,5.77,22,8,6,29.12
50,5.7,30,11,2,46.45
20,6.14,31,8,4,26.82
37,6.08,34,16,6,49.0
29,6.11,27,7,8,41.9
43,7.36,20,17,10,57.99
21,5.92,30,16,5,48.22
57,5.82,32,5,6,40.84
45,5.98,26,9,10,48.79
27,7.39,28,20,3,55.9
59,5.71,34,10,6,43.58
25,5.61,33,10,8,37.8
21,6.52,27,13,8,42.55
36,6.32,33,18,4,52.89
27,5.59,28,17,9,56.91
33,6.93,27,19,6,64.77
55,5.93,26,13,9,58.72
20,6.5,30,19,9,63.56
49,6.64,35,12,10,56.08
51,7.06,32,12,2,44.88
47,5.69,24,12,2,44.71
27,6.91,23,20,10,63.01
44,7.33,30,10,2,41.96
59,5.56,22,7,10,50.41
23,6.01,30,8,4,24.6
44,6.82,32,13,9,53.88
54,7.41,33,11,2,42.22
50,6.91,35,19,3,59.03
26,6.7,23,18,8,58.87
25,6.41,21,12,4,31.11
55,6.2,27,10,3,45.62
22,5.78,28,8,8,37.34
37,6.08,35,5,2,25.57
59,6.28,33,18,7,67.18
21,7.45,33,20,7,51.58
48,6.67,26,14,5,58.95
40,5.83,21,12,7,41.26
44,6.54,20,18,7,59.56
55,7.32,35,5,7,36.47
60,7.1,27,16,6,70.1
51,6.7,21,20,4,57.22
23,6.09,35,6,4,20.46
35,6.86,20,7,8,27.31
25,6.8,29,16,5,44.59
52,7.0,29,9,7,55.4
26,7.24,34,12,8,40.69
46,5.65,21,17,4,50.9
39,5.56,33,12,3,32.49
53,7.13,23,17,2,50.45
23,6.53,32,11,4,31.7
56,6.47,23,8,7,50.83
55,6.38,21,11,3,43.71
35,6.48,34,7,4,26.84
35,5.7,35,20,5,56.54
50,6.56,35,12,9,55.39
43,6.5,21,7,4,33.92
28,6.48,22,5,3,26.07
40,5.65,24,19,7,56.78
34,7.4,28,16,5,56.82
57,6.29,23,7,5,42.45
49,5.86,29,14,8,61.07
22,7.43,30,8,10,32.69
52,7.5,25,8,3,39.54
24,6.51,31,15,7,52.86
60,6.23,29,18,10,81.6
57,6.91,35,13,5,50.8
49,7.11,33,13,8,57.76
47,6.46,29,17,3,63.94
43,5.64,33,10,2,31.09
43,6.55,23,8,6,35.53
58,5.55,28,8,9,51.85
23,6.35,34,12,9,37.54
34,6.91,30,5,3,28.33
60,6.94,31,6,3,45.65
27,7.3,26,17,9,52.17
55,5.57,34,9,2,37.16
36,5.52,32,6,5,30.2
46,6.79,22,15,10,60.08
38,5.63,29,13,5,50.35
27,6.75,23,17,6,51.43
22,6.47,32,8,7,33.2
51,6.71,27,14,4,52.38
37,5.9,23,5,6,26.77
38,6.06,21,8,4,32.7
24,5.98,24,19,3,45.42
27,5.58,21,6,8,22.94
20,7.42,30,15,2,37.52
54,5.65,35,20,9,70.01
35,6.99,21,5,5,19.58
58,5.69,33,13,8,59.29
32,7.44,25,13,3,42.73
35,7.4,34,16,10,50.38
20,6.59,29,6,8,33.12
56,6.65,24,6,2,40.25
46,5.61,28,12,9,58.72
48,5.65,23,7,7,42.39
20,6.02,34,7,9,32.64
49,7.1,21,14,5,47.3
38,5.75,28,9,9,48.59
58,6.17,34,10,5,50.19
34,7.45,27,17,3,47.44
22,5.64,25,14,10,41.13
34,6.67,24,15,6,49.56
30,6.95,23,18,3,48.34
35,5.91,29,8,6,39.75
54,6.76,24,14,9,59.59
58,6.07,25,5,7,46.5
51,6.16,31,14,2,55.51
51,5.52,28,9,10,56.86
60,7.23,22,16,2,53.4
29,6.53,25,9,8,44.72
38,6.28,30,9,8,50.14
50,7.41,23,9,5,40.24
41,5.63,34,11,9,46.31
44,6.54,28,10,4,46.01
37,6.02,31,9,10,44.06
39,5.62,26,5,6,33.97
32,6.13,23,5,9,29.31
35,7.07,24,9,2,35.7
46,7.17,23,5,4,24.97
37,6.73,23,11,8,48.74
48,6.78,26,5,3,37.31
43,6.51,23,15,7,60.04
30,5.74,29,17,2,43.24
50,6.88,35,5,9,36.86
41,6.31,26,9,2,36.31
45,6.14,24,17,8,58.21
53,7.5,25,15,9,62.19
22,5.99,22,14,7,41.15
23,6.26,31,20,10,64.02
42,6.3,34,17,3,49.86
37,6.15,34,16,2,49.29
54,7.14,21,13,2,39.79
39,7.46,22,6,7,31.29
40,5.94,29,7,8,40.64
55,7.35,31,13,2,44.51
59,7.27,35,17,5,63.17
32,6.81,28,7,8,36.55
47,6.92,26,19,4,64.71
59,5.69,30,14,10,70.55
27,5.74,29,20,3,54.85
40,7.43,27,12,4,46.74
30,6.88,24,15,5,43.63
50,6.6,34,16,10,65.94
24,6.01,35,20,3,49.13
55,6.52,21,19,9,72.61
30,6.19,24,11,4,39.05
26,6.33,29,9,8,41.03
27,6.07,23,7,7,28.0
44,7.27,26,12,9,56.19
39,6.96,24,6,5,28.59
26,6.22,28,11,5,36.55
51,6.4,22,16,7,59.67
29,6.2,29,17,5,56.74
59,6.54,25,9,10,60.1
44,7.29,33,11,9,42.66
23,6.99,23,12,7,42.09
23,7.03,29,16,7,51.39
35,7.08,25,10,3,33.87
57,6.69,32,11,6,52.34
60,6.46,34,20,4,63.97
40,6.91,33,6,2,29.9
38,6.8,30,10,4,41.43
42,6.88,31,12,9,57.64
46,5.83,24,9,2,33.11
26,5.6,35,20,5,47.7
60,7.36,22,13,7,54.83
27,6.29,30,18,10,60.71
44,6.11,31,16,5,59.65
58,6.4,31,17,5,62.42
57,6.26,31,17,5,65.43
25,6.25,26,9,10,46.1
43,5.58,26,16,6,59.11
41,5.9,24,18,5,56.29
42,7.44,30,18,4,58.17
20,7.04,26,5,2,21.67
29,7.32,24,10,9,40.31
33,6.91,35,11,4,34.17
57,5.82,34,18,10,64.32
25,6.31,33,12,10,40.17
43,6.01,25,9,6,41.69
29,6.39,28,14,5,49.01
38,7.34,29,10,10,44.31
31,7.14,28,7,5,31.29
36,6.02,20,6,2,22.73
21,6.26,30,8,2,26.18
22,6.81,35,5,4,20.51
26,6.42,29,9,2,32.5
26,5.73,20,20,5,45.08
60,7.03,24,7,9,51.04
53,5.99,32,14,9,60.34
49,7.16,35,12,10,55.63
55,5.84,24,17,3,52.93
39,7.37,20,19,7,57.26
58,7.34,32,12,10,54.63
25,6.27,28,11,9,47.04
54,5.72,26,18,10,67.18
21,6.79,26,16,7,50.3
39,7.05,23,7,9,36.81
33,6.74,20,17,4,47.51
32,7.24,30,10,8,40.86
44,7.46,23,16,2,42.38
22,6.61,24,5,8,26.73
34,5.87,34,15,6,48.41
59,7.0,34,19,7,67.68
49,5.68,29,13,6,53.2
25,7.1,24,18,7,48.43
57,7.41,26,8,9,55.16
36,5.71,21,16,2,41.42
51,6.78,30,8,6,49.07
25,7.15,33,17,2,44.88
50,5.68,22,7,10,42.26
59,6.65,23,13,4,53.22
38,6.99,21,10,9,45.29
37,6.98,23,17,2,43.88
31,6.74,30,11,2,33.24
44,7.39,28,7,4,33.23
25,7.08,34,18,10,56.82
53,6.68,30,11,2,48.66
50,7.15,35,13,5,48.5
36,7.27,26,18,8,55.67
26,5.67,24,16,7,48.78
31,7.39,31,16,6,52.94
39,6.24,28,11,7,47.13
47,7.28,22,7,3,33.08
30,5.59,25,7,3,24.93
47,5.92,25,13,10,62.27
35,6.53,30,17,7,64.33
57,6.72,26,13,8,63.55
40,6.03,21,18,8,58.32
40,7.27,28,6,7,43.08
33,5.88,21,13,2,33.79
55,5.96,31,17,5,66.17
24,7.11,34,7,10,29.56
54,5.79,27,18,4,65.05
21,5.91,32,20,10,54.47
47,6.68,25,9,7,46.48
29,7.46,32,12,3,34.8
25,6.18,33,5,7,25.15
28,5.73,24,16,7,43.22
48,6.54,22,10,5,43.44
48,6.9,25,15,7,63.01
33,5.86,27,8,6,40.67
26,6.14,33,19,9,60.53
55,5.99,29,5,8,40.94
20,7.32,21,9,10,28.54
34,5.58,29,20,5,54.54
54,6.66,35,11,10,53.54
48,6.54,24,11,3,46.41
58,5.82,32,7,6,45.24
26,7.21,30,12,10,42.04
48,6.02,33,10,5,41.73
36,5.8,24,20,10,66.36
55,6.95,29,12,10,59.53
46,5.95,20,19,8,61.72
50,5.67,27,8,7,45.4
30,6.28,35,12,7,41.46
23,6.84,25,18,10,59.26
58,5.59,22,19,2,58.85
32,7.12,21,18,8,50.12
37,7.49,23,13,9,43.22
40,6.03,29,15,3,46.53
